20,21,22,23,1,2,3,4,5,6,7,8,16,17,18,19,9,13,14,15
bar,bar,bar,bar,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,pistons,pistons,pistons,pistons
0.0,2542.940789201227,2369.510334999218,-492.35756892721747,762.4615084767488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-2832.868896484375,-2979.950927734375,-5989.623046875,-4839.59423828125,1796.112060546875,1648.6689453125,1224.1710205078125,448.0035095214844,2895.1259765625,2990.194091796875,2970.97607421875,2925.4560546875,3585.68896484375,3598.1298828125,3605.39306640625,3572.85302734375,-2979.950927734375,-5989.623046875,-2832.868896484375,-4839.59423828125
1.0,480.2182108341997,-2842.506592309533,-1773.487365720372,217.04657765565028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3982.155029296875,-7294.93505859375,-6336.587890625,-4443.85986328125,1657.511962890625,1695.6510009765625,2842.528076171875,3921.656982421875,2407.4951171875,2485.970947265625,2475.2451171875,2436.324951171875,2963.23095703125,2982.90087890625,2998.14404296875,3001.81201171875,-7294.93505859375,-6336.587890625,-3982.155029296875,-4443.85986328125
2.0,-1839.2786954886556,-2942.960672370179,-2161.9001617065774,-2769.9045514178792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-5793.0068359375,-6878.30712890625,-6201.869140625,-6913.9599609375,2575.75390625,3690.4169921875,2689.653076171875,3798.656982421875,2137.455078125,2209.075927734375,2194.9130859375,2159.136962890625,2638.447998046875,2633.193115234375,2666.10009765625,2650.153076171875,-6878.30712890625,-6201.869140625,-5793.0068359375,-6913.9599609375
3.0,819.4112418505819,662.7350879704421,-933.9153444893346,-1570.5563661664432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-3919.781982421875,-4049.4951171875,-5777.64697265625,-6524.44384765625,2425.074951171875,3116.637939453125,1627.85400390625,1456.0999755859375,2556.26708984375,2641.925048828125,2623.431884765625,2582.958984375,3169.60791015625,3162.617919921875,3184.10791015625,3151.804931640625,-4049.4951171875,-5777.64697265625,-3919.781982421875,-6524.44384765625
20,21,22,23,1,2,3,4,5,6,7,8,16,17,18,19,9,13,14,15
bar,bar,bar,bar,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,pistons,pistons,pistons,pistons
0.0,1414.4455906934948,1751.5329150210039,2198.427349300733,1450.7807397993604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-4013.529052734375,-3655.10107421875,-3321.617919921875,-4191.0419921875,1556.1739501953125,1179.4530029296875,1476.083984375,917.5007934570312,2922.80810546875,3017.716064453125,2994.64892578125,2947.534912109375,3607.22412109375,3590.217041015625,3646.991943359375,3616.64794921875,-3655.10107421875,-3321.617919921875,-4013.529052734375,-4191.0419921875
1.0,2089.054819266938,-677.1926473900489,2289.473318015138,-2289.708502036927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-2450.030029296875,-5199.5732421875,-2323.839111328125,-7048.2099609375,2621.87890625,3597.381103515625,2059.51708984375,2370.31103515625,2450.580078125,2536.054931640625,2517.01611328125,2481.65087890625,3045.0810546875,2981.633056640625,3042.9560546875,3033.76611328125,-5199.5732421875,-2323.839111328125,-2450.030029296875,-7048.2099609375
20,21,22,23,1,2,3,4,5,6,7,8,16,17,18,19,9,13,14,15
bar,bar,bar,bar,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,tendon,pistons,pistons,pistons,pistons
0.0,-2459.9206851098056,1307.6711735207916,591.8191798207602,-502.4460366998209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-7422.20703125,-3623.39306640625,-4452.9990234375,-5655.203125,2101.2470703125,2416.778076171875,1466.60302734375,1054.64697265625,2674.7958984375,2759.72412109375,2733.84912109375,2686.239990234375,3293.39794921875,3283.139892578125,3352.618896484375,3295.047119140625,-3623.39306640625,-4452.9990234375,-7422.20703125,-5655.203125
1.0,1240.2237021763724,2516.378450707859,-559.2246870799916,2868.431633703073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4439.32080078125,-3138.010986328125,-6361.712890625,-3024.85205078125,1121.5699462890625,211.69239807128906,1281.001953125,448.60009765625,3055.965087890625,3152.093017578125,3131.97412109375,3080.3349609375,3764.952880859375,3803.547119140625,3817.3291015625,3778.843994140625,-3138.010986328125,-6361.712890625,-4439.32080078125,-3024.85205078125
