20,21,22,23,1,2,3,4,5,6,7,8,16,17,18,19,9,13,14,15
bar,bar,bar,bar,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,pistons,pistons,pistons,pistons
-5159.8828125,-3918.781982421875,-4835.48095703125,-7006.6640625,2621.760986328125,5013.63720703125,1581.4100341796875,1980.946044921875,2184.35498046875,2171.90087890625,3491.97705078125,2585.839111328125,5767.001953125,339.68011474609375,2054.23095703125,2590.6669921875,-3918.781982421875,-4835.48095703125,-5159.8828125,-7006.6640625
-6788.5830078125,-4572.337890625,-8362.873046875,-7408.47314453125,2667.047119140625,1273.5059814453125,1765.22705078125,0.0,4109.72021484375,3729.759033203125,3557.80908203125,1973.0689697265625,5033.27197265625,7796.60400390625,7030.77197265625,4769.5751953125,-4572.337890625,-8362.873046875,-6788.5830078125,-7408.47314453125
